+------------+--------------------+--------------------+--------------------------+---------------------+-----------------------------+---------------------------+
| Run Number | Disk.mdot(msol/yr) | Wind.mdot(msol/yr) | KWD.d(in_units_of_rstar) | KWD.mdot_r_exponent | KWD.acceleration_length(cm) | KWD.acceleration_exponent |
|    195     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+10          |         5.000e-01         |
|    196     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+10          |         1.500e+00         |
|    197     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+10          |         4.500e+00         |
|    198     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+08          |         5.000e-01         |
|    199     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+08          |         1.500e+00         |
|    200     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+08          |         4.500e+00         |
|    201     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+09          |         5.000e-01         |
|    202     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+09          |         1.500e+00         |
|    203     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+09          |         4.500e+00         |
|    204     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+10          |         5.000e-01         |
|    205     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+10          |         1.500e+00         |
|    206     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+10          |         4.500e+00         |
|    207     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+08          |         5.000e-01         |
|    208     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+08          |         1.500e+00         |
|    209     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+08          |         4.500e+00         |
|    210     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+09          |         5.000e-01         |
|    211     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+09          |         1.500e+00         |
|    212     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+09          |         4.500e+00         |
|    213     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+10          |         5.000e-01         |
|    214     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+10          |         1.500e+00         |
|    215     |     3.000e-09      |     9.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+10          |         4.500e+00         |
|    216     |     3.000e-09      |     9.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+08          |         5.000e-01         |
|    217     |     3.000e-09      |     9.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+08          |         1.500e+00         |
|    218     |     3.000e-09      |     9.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+08          |         4.500e+00         |
|    219     |     3.000e-09      |     9.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+09          |         5.000e-01         |
|    220     |     3.000e-09      |     9.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+09          |         1.500e+00         |
|    221     |     3.000e-09      |     9.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+09          |         4.500e+00         |
|    222     |     3.000e-09      |     9.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+10          |         5.000e-01         |
